GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
597088929,20161108,201611,2016,2016.8438,USAGOVMEDASA,RADIO FREE ASIA,USA,,,,,GOV,MED,,,,,,,,,,,,0,10,10,1,1,0,4,1,4,-5.102040816,4,"Lin Ping, Shaanxi, China",CH,CH26,34.4644,108.097,-1915427,0,,,,,,,3,"Miami, Florida, United States",US,USFL,25.7743,-80.1937,295004,20161108,http://www.oklahomacitysun.com/index.php/sid/249237543
597088930,20161108,201611,2016,2016.8438,USAGOVMEDASA,RADIO FREE ASIA,USA,,,,,GOV,MED,,,,,,,,,,,,0,10,10,1,1,0,3,1,3,-5.102040816,3,"Miami, Florida, United States",US,USFL,25.7743,-80.1937,295004,0,,,,,,,3,"Miami, Florida, United States",US,USFL,25.7743,-80.1937,295004,20161108,http://www.oklahomacitysun.com/index.php/sid/249237543
596891218,20161108,201611,2016,2016.8438,USAGOVMED,THE WHITE HOUSE,USA,,,,,GOV,MED,,,,,,,,,,,,1,43,43,4,1,2.8,1,1,1,-2.51396648,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,0,,,,,,,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,20161108,http://www.thedailybeast.com/articles/2016/11/08/seth-meyers-mocks-bond-villain-trump-for-getting-his-twitter-account-taken-away.html
596838107,20161108,201611,2016,2016.8438,USAGOVMED,NASA,USA,,,,,GOV,MED,,,,,,,,,,,,1,36,36,3,1,4,3,1,3,-0.526315789,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,0,,,,,,,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,20161108,http://www.techly.com.au/2016/11/08/astronauts-can-be-bothered-to-vote-all-the-way-from-space/
597085471,20161108,201611,2016,2016.8438,USAGOVMED,NASA,USA,,,,,GOV,MED,,,,,,,,,,,,1,10,10,1,1,0,14,2,14,1.770778241,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,0,,,,,,,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,20161108,http://www.irishexaminer.com/breakingnews/world/yes-us-astronauts-can-vote-from-space-and-heres-how-it-works-763181.html
597235047,20161109,201611,2016,2016.8466,USAGOVMED,TONY FRATTO,USA,,,,,GOV,MED,,USAELI,GEORGE W. BUSH,USA,,,,,ELI,,,1,100,100,10,3,-5,2,1,2,-0.710900474,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,20161109,http://theweek.com/speedreads/660603/dow-futures-plunge-trumps-white-house-chances-brighten
597235045,20161109,201611,2016,2016.8466,USAGOVMED,TONY FRATTO,USA,,,,,GOV,MED,,GOV,PRESIDENT,,,,,,GOV,,,1,60,60,6,2,6,3,1,3,-0.710900474,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,2,"Alaska, United States",US,USAK,61.385,-152.268,AK,20161109,http://theweek.com/speedreads/660603/dow-futures-plunge-trumps-white-house-chances-brighten
596827708,20161108,201611,2016,2016.8438,USAGOVMED,HILLARY CLINTON,USA,,,,,GOV,MED,,USA,AMERICAN,USA,,,,,,,,1,80,80,8,2,5,4,2,4,-0.131578947,2,"New Hampshire, United States",US,USNH,43.4108,-71.5653,NH,2,"New Hampshire, United States",US,USNH,43.4108,-71.5653,NH,2,"New Hampshire, United States",US,USNH,43.4108,-71.5653,NH,20161108,http://www.redstate.com/diary/energyrabbit/2016/11/07/marita-noon-america-needs-use-energy-less/
597453571,20161109,201611,2016,2016.8466,USAGOVMED,THE WHITE HOUSE,USA,,,,,GOV,MED,,USAGOV,THE WHITE HOUSE,USA,,,,,GOV,,,1,42,42,4,1,1.9,2,1,2,-3.103448276,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,2,"New York, United States",US,USNY,42.1497,-74.9384,NY,20161109,http://www.renewamerica.com/news.php?p=602
596838109,20161108,201611,2016,2016.8438,USAGOVMED,NASA,USA,,,,,GOV,MED,,USAMED,UNITED STATES,USA,,,,,MED,,,1,36,36,3,1,4,1,1,1,-0.526315789,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,2,"Texas, United States",US,USTX,31.106,-97.6475,TX,20161108,http://www.techly.com.au/2016/11/08/astronauts-can-be-bothered-to-vote-all-the-way-from-space/
